Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Dez Bryant,DAL,  vs.  PHI,1,7,2.1465517241379,1.4928236976121
2,Antonio Brown,PIT,  vs.  NO,1,6,2.5431034482759,1.0938089206144
3,Demaryius Thomas,DEN,  at  KC,1,8,2.9310344827586,1.6013148580691
4,Calvin Johnson,DET,  vs.  CHI,1,18,4.2672413793103,2.7865370878092
5,A.J. Green,CIN,  at  TB,1,24,5.4137931034483,2.596645599805
6,Jordy Nelson,GB,  vs.  NE,1,18,6.948275862069,2.5691969347283
7,Josh Gordon,CLE,  at  BUF,2,30,7.801724137931,3.3508100605422
8,Ty Hilton,IND,  vs.  WAS,2,16,8.2758620689655,2.6735815023935
9,Emmanuel Sanders,DEN,  at  KC,2,18,8.8879310344828,2.3443679823405
10,Odell Beckham Jr.,NYG,  at  JAC,3,20,10.224137931034,2.5967028393999
11,Randall Cobb,GB,  vs.  NE,4,23,10.620689655172,2.7967196684126
12,Julio Jones,ATL,  vs.  ARI,6,26,12.758620689655,3.5419181673776
13,Jeremy Maclin,PHI,  at  DAL,7,24,13.913793103448,3.0528928212244
14,Mike Evans,TB,  vs.  CIN,6,42,14.698275862069,4.3255851260287
15,Brandon Marshall,CHI,  at  DET,5,39,15.689655172414,4.4088738751082
16,Alshon Jeffery,CHI,  at  DET,4,40,16.853448275862,4.2815850882605
17,Kelvin Benjamin,CAR,  at  MIN,7,51,17.129310344828,4.3480676889653
18,Golden Tate,DET,  vs.  CHI,7,46,18.663793103448,5.7128771142666
19,Jordan Matthews,PHI,  at  DAL,11,42,21.301724137931,4.9028841399137
20,Mike Wallace,MIA,  at  NYJ,13,42,21.560344827586,4.9884155336406
21,Keenan Allen,SD,  at  BAL,8,36,22.810344827586,4.7104319172037
22,Brandon LaFell,NE,  at  GB,13,42,24.869565217391,5.5128651733613
23,Julian Edelman,NE,  at  GB,10,45,25.603448275862,5.3270282042339
24,Sammy Watkins,BUF,  vs.  CLE,10,62,26.258620689655,6.6308067456006
25,DeSean Jackson,WAS,  at  IND,13,46,26.51724137931,5.5171874997369
26,Roddy White,ATL,  vs.  ARI,14,78,27.160714285714,10.459576585452
27,DeAndre Hopkins,HOU,  vs.  TEN,17,52,28.051724137931,5.5504656958801
28,Vincent Jackson,TB,  vs.  CIN,18,50,29.801724137931,5.9642900372163
29,Martavis Bryant,PIT,  vs.  NO,14,81,30.382608695652,9.171394667728
30,Steve Smith,BAL,  vs.  SD,11,49,30.921052631579,5.8984754748201
31,Torrey Smith,BAL,  vs.  SD,21,52,31.612068965517,5.2568043782421
32,Anquan Boldin,SF,  vs.  SEA,11,49,31.612068965517,5.7666872575403
33,Mohamed Sanu,CIN,  at  TB,16,57,32.284482758621,6.6433866966651
34,Jarvis Landry,MIA,  at  NYJ,18,66,33.826086956522,7.7776277478254
35,Andre Johnson,HOU,  vs.  TEN,10,54,34.215517241379,5.220658622875
36,Reggie Wayne,IND,  vs.  WAS,16,53,36.853448275862,6.2728950451386
37,Kenny Stills,NO,  at  PIT,16,61,37.560344827586,8.2975783682738
38,John Brown,ARI,  at  ATL,18,58,37.330434782609,6.8432407008102
39,Marques Colston,NO,  at  PIT,11,57,38.094827586207,7.7035352926274
40,Denard Robinson,JAC,  vs.  NYG,8,63,31.193548387097,11.45093137454
41,Michael Floyd,ARI,  at  ATL,21,65,41.149122807018,7.8407756241604
42,Percy Harvin,NYJ,  vs.  MIA,25,66,42.105263157895,6.7034534449523
43,Eric Decker,NYJ,  vs.  MIA,25,58,42.947826086957,4.7233802896928
44,Malcom Floyd,SD,  at  BAL,8,65,44.791304347826,7.5209801074685
45,Terrance Williams,DAL,  vs.  PHI,22,69,45.522123893805,7.859493267834
46,Cecil Shorts,JAC,  vs.  NYG,25,61,45.873873873874,6.2933070655999
47,Rueben Randle,NYG,  at  JAC,22,60,45.801724137931,5.6556651908937
48,Charles Johnson,MIN,  vs.  CAR,25,66,48.072727272727,8.1516413192895
49,Andrew Hawkins,CLE,  at  BUF,31,71,48.823008849558,7.1324139672289
50,Justin Hunter,TEN,  at  HOU,30,89,49.146788990826,7.5974714384608
51,Michael Crabtree,SF,  vs.  SEA,32,74,49.142857142857,6.2974727681274
52,Kenny Britt,STL,  vs.  OAK,25,69,49.460869565217,5.6465256058721
53,Kendall Wright,TEN,  at  HOU,26,65,50.05504587156,6.1879356762717
54,Pierre Garcon,WAS,  at  IND,29,71,51.774774774775,7.292702368269
55,Robert Woods,BUF,  vs.  CLE,35,77,56,9.3632207553075
56,Larry Fitzgerald,ARI,  at  ATL,22,77,54.860759493671,10.175341473715
57,James Jones,OAK,  at  STL,31,80,53.280373831776,6.3772293408546
58,Dwayne Bowe,KC,  vs.  DEN,26,78,55.301886792453,7.5625315359651
59,Doug Baldwin,SEA,  at  SF,41,71,56.261682242991,5.8266812159658
60,Allen Hurns,JAC,  vs.  NYG,34,112,58.117647058824,7.8706380607468
61,Greg Jennings,MIN,  vs.  CAR,35,68,59.313131313131,5.1613295300833
62,Harry Douglas,ATL,  vs.  ARI,37,89,77.12676056338,12.457171222158
63,Davante Adams,GB,  vs.  NE,37,86,62.6875,7.6421426151309
64,Brian Hartline,MIA,  at  NYJ,26,92,76.904761904762,10.005893954675
65,Eddie Royal,SD,  at  BAL,40,107,70.1125,9.2479643030237
66,Stedman Bailey,STL,  vs.  OAK,45,106,66.56976744186,9.8329544374604
67,Andre Holmes,OAK,  at  STL,45,81,61.589473684211,5.620441520102
68,Jaron Brown,ARI,  at  ATL,38,102,72.413793103448,11.759126291082
69,Donte Moncrief,IND,  vs.  WAS,45,91,68.54347826087,7.837220341697
70,Tavon Austin,STL,  vs.  OAK,43,88,71.058823529412,6.9609886741611
71,Cole Beasley,DAL,  vs.  PHI,46,111,75.918367346939,12.569540011868
72,Wes Welker,DEN,  at  KC,46,77,65.236559139785,5.3186582701739
73,Markus Wheaton,PIT,  vs.  NO,47,113,68.174418604651,7.5439670343572
74,Danny Amendola,NE,  at  GB,48,101,85.333333333333,9.8796172803828
75,Nate Washington,TEN,  at  HOU,48,97,66.068181818182,8.1363318943007
76,Marqise Lee,JAC,  vs.  NYG,48,88,68.093023255814,6.871965134764
77,Chris Hogan,BUF,  vs.  CLE,48,84,66.847058823529,6.7309747259402
78,Cordarrelle Patterson,MIN,  vs.  CAR,49,88,68.316326530612,6.9921193814464
79,Jermaine Kearse,SEA,  at  SF,53,91,74.125,7.3982683784788
80,Marquess Wilson,CHI,  at  DET,54,110,84.875,12.040945768502
81,Riley Cooper,PHI,  at  DAL,55,86,73.886075949367,6.7110099256431
82,Devin Hester,ATL,  vs.  ARI,57,122,85.052631578947,9.5640427710997
83,Louis Murphy,TB,  vs.  CIN,58,91,72.653333333333,5.9002674139022
84,Jason Avant,KC,  vs.  DEN,60,117,83.423076923077,9.5441205297497
85,Andre Roberts,WAS,  at  IND,60,99,78.280701754386,5.3664140268471
86,Jerricho Cotchery,CAR,  at  MIN,60,90,78.537037037037,6.8629789530305
87,Philly Brown,CAR,  at  MIN,61,107,83.512820512821,7.4450871595931
88,Cody Latimer,DEN,  at  KC,61,98,82.444444444444,10.925109825139
89,Miles Austin,CLE,  at  BUF,61,95,79.308823529412,6.2054467368718
90,Hakeem Nicks,IND,  vs.  WAS,62,111,80.373134328358,7.5564261885596
91,Jeremy Kerley,NYJ,  vs.  MIA,62,109,86.387096774194,8.9142054785166
92,Taylor Gabriel,CLE,  at  BUF,63,112,84.55,9.1822745911167
93,Steve Johnson,SF,  vs.  SEA,63,99,81.981818181818,8.1608620513698
94,Brandon Gibson,MIA,  at  NYJ,64,116,86.944444444444,10.849844966748
95,Donnie Avery,KC,  vs.  DEN,65,108,82.166666666667,9.4118719356637
96,Jarrett Boykin,GB,  vs.  NE,66,120,99.166666666667,15.104267241044
97,Andre Caldwell,DEN,  at  KC,68,114,85.513513513514,10.602451581927
98,Nick Toon,NO,  at  PIT,71,119,89.5,15.265975239073
99,Lance Moore,PIT,  vs.  NO,71,111,98.666666666667,10.842303978194
100,Preston Parker,NYG,  at  JAC,71,99,82.333333333333,6.509252673723
101,Brandon Tate,CIN,  at  TB,72,132,105.11111111111,18.710926364884
102,Joseph Morgan,NO,  at  PIT,72,121,91.333333333333,13.816254517375
103,Jarius Wright,MIN,  vs.  CAR,72,109,88.380952380952,11.175978450725
104,Isaiah Burse,DEN,  at  KC,74,155,114.5,40.5
105,Damaris Johnson,HOU,  vs.  TEN,74,149,92.5,19.120233610846
106,Travis Benjamin,CLE,  at  BUF,74,118,95.583333333333,13.622642507564
107,Dexter McCluster,TEN,  at  HOU,74,97,79.821428571429,6.3754751723671
108,Frankie Hammond,KC,  vs.  DEN,75,127,105,15.564382416273
109,Brandon Lloyd,SF,  vs.  SEA,75,116,96.545454545455,14.742416456443
110,Kenbrell Thompkins,OAK,  at  STL,75,113,89.3125,8.2136985426786
111,Rishard Matthews,MIA,  at  NYJ,76,116,96.090909090909,12.565859558593
112,Marlon Brown,BAL,  vs.  SD,76,103,93.071428571429,7.8600643919053
113,Darrius Heyward-Bey,PIT,  vs.  NO,77,127,103,20.461345670964
114,Brenton Bersin,CAR,  at  MIN,78,148,108.5,19.455076458344
115,Chris Givens,STL,  vs.  OAK,79,113,101.81818181818,9.8333216603563
116,Dane Sanzenbacher,CIN,  at  TB,80,142,111,31
117,Vincent Brown,OAK,  at  STL,80,115,96.111111111111,13.420088130564
118,Brice Butler,OAK,  at  STL,81,123,90.0625,9.9402511914941
119,Jeremy Ross,DET,  vs.  CHI,82,118,92.642857142857,9.3702198697876
120,Seyi Ajirotutu,SD,  at  BAL,83,144,119,26.089589239133
121,Paul Richardson,SEA,  at  SF,83,115,94,8.2915619758885
122,Ted Ginn Jr.,ARI,  at  ATL,84,129,104.9,12.597221915962
123,Ace Sanders,JAC,  vs.  NYG,84,115,104.25,12.132085558551
124,Albert Wilson,KC,  vs.  DEN,85,143,106.16666666667,17.836448326079
125,Keshawn Martin,HOU,  vs.  TEN,85,137,118.33333333333,16.367311596255
126,Aldrick Robinson,WAS,  at  IND,87,163,125,38
127,Corey Washington,NYG,  at  JAC,87,129,111,15.811388300842
128,Denarius Moore,OAK,  at  STL,88,126,101.33333333333,17.461067804945
129,Ricardo Lockette,SEA,  at  SF,89,162,110.88888888889,19.093014688009
130,Josh Morgan,CHI,  at  DET,89,153,122,23.727621035409
131,Santana Moss,WAS,  at  IND,91,120,105.5,14.5
132,Dri Archer,PIT,  vs.  NO,91,100,95.5,4.5
133,Kevin Norwood,SEA,  at  SF,92,167,121.4,24.936719912611
134,Corey Fuller,DET,  vs.  CHI,92,125,109.6,10.85541339609
135,Jacoby Jones,BAL,  vs.  SD,93,134,109,15.215124054703
136,Kamar Aiken,BAL,  vs.  SD,93,117,106,9.2466210044535
137,T.J. Graham,NYJ,  vs.  MIA,94,138,117.5,16.023420358962
138,Robert Meachem,NO,  at  PIT,94,132,112.33333333333,15.542057635833
139,Dwayne Harris,DAL,  vs.  PHI,97,122,115.25,10.544548354482
140,Junior Hemingway,KC,  vs.  DEN,98,113,106,5.6124860801609
141,James Wright,CIN,  at  TB,98,108,103.6,3.6110940170536
142,Greg Little,CIN,  at  TB,99,165,130.66666666667,27.010286106511
143,Josh Huff,PHI,  at  DAL,99,125,108.11111111111,9.0730914055972
144,Derek Hagan,TEN,  at  HOU,103,147,125.5,15.819292019556
145,DeVier Posey,HOU,  vs.  TEN,108,135,121.5,13.5
146,Ryan Broyles,DET,  vs.  CHI,111,113,112,1
147,Devin Street,DAL,  vs.  PHI,112,145,129.33333333333,13.523641850067
148,Marquise Goodwin,BUF,  vs.  CLE,114,128,120,5.8878405775519
149,Drew Davis,ATL,  vs.  ARI,117,141,129,12
150,Ryan Grant,WAS,  at  IND,119,146,132.5,13.5
