Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,Rob Gronkowski,NE,  at  GB,1,4,1.3193277310924,0.51747241406187
2,Jimmy Graham,NO,  at  PIT,1,4,1.7142857142857,0.50448171495138
3,Greg Olsen,CAR,  at  MIN,2,15,4.4285714285714,1.925378620722
4,Jason Witten,DAL,  vs.  PHI,3,15,6,2.6424909878162
5,Travis Kelce,KC,  vs.  DEN,3,13,6.5593220338983,2.203780930088
6,Delanie Walker,TEN,  at  HOU,3,18,6.8319327731092,3.07693869399
7,Martellus Bennett,CHI,  at  DET,3,18,8.1344537815126,2.2749064797396
8,Antonio Gates,SD,  at  BAL,4,17,8.1260504201681,2.4272771404983
9,Coby Fleener,IND,  vs.  WAS,2,20,8.4789915966387,2.9558338256694
10,Julius Thomas,DEN,  at  KC,3,29,7.1530612244898,5.2689929348284
11,Larry Donnell,NYG,  at  JAC,4,17,10.689075630252,2.6623673649361
12,Kyle Rudolph,MIN,  vs.  CAR,7,25,13.221238938053,3.4403501398116
13,Owen Daniels,BAL,  vs.  SD,3,25,14.686440677966,3.2435049898778
14,Mychal Rivera,OAK,  at  STL,8,29,15.771186440678,3.6601635069274
15,Jordan Reed,WAS,  at  IND,4,32,17.515151515152,6.2253370139005
16,Heath Miller,PIT,  vs.  NO,6,31,16.235294117647,3.2298655755594
17,Jared Cook,STL,  vs.  OAK,7,28,17.663793103448,3.8460547755465
18,Timothy Wright,NE,  at  GB,6,36,17.758928571429,4.4123316149868
19,Charles Clay,MIA,  at  NYJ,4,39,16.179487179487,6.8943373080016
20,Dwayne Allen,IND,  vs.  WAS,5,27,12.588235294118,5.1341855821245
21,Zach Ertz,PHI,  at  DAL,6,29,18.792792792793,4.2130580302287
22,Eric Ebron,DET,  vs.  CHI,10,39,21.656862745098,5.5155663816668
23,Dion Sims,MIA,  at  NYJ,8,47,22.958333333333,8.2148874003239
24,Jacob Tamme,DEN,  at  KC,4,50,24.098765432099,8.1689036063699
25,Vernon Davis,SF,  vs.  SEA,9,33,22.27027027027,4.1588848686129
26,Jordan Cameron,CLE,  at  BUF,11,37,18,6.3456021516218
27,Scott Chandler,BUF,  vs.  CLE,11,34,24.220930232558,5.1362848821382
28,Andrew Quarless,GB,  vs.  NE,11,52,24.956989247312,5.6870234830409
29,Brent Celek,PHI,  at  DAL,10,44,24.753846153846,5.7433058537899
30,Jermaine Gresham,CIN,  at  TB,12,31,23.577777777778,4.312714478474
31,Niles Paul,WAS,  at  IND,8,37,22.822916666667,4.6075002072406
32,Marcedes Lewis,JAC,  vs.  NYG,13,33,23.945652173913,4.7120662190731
33,Clay Harbor,JAC,  vs.  NYG,16,60,38.307692307692,11.417830963249
34,Anthony Fasano,KC,  vs.  DEN,16,43,29.631578947368,4.9493277195339
35,Garrett Graham,HOU,  vs.  TEN,16,40,28.285714285714,6.0524914755185
36,Cooper Helfet,SEA,  at  SF,17,44,32,7.4100668626599
37,Jace Amaro,NYJ,  vs.  MIA,17,40,29.333333333333,6.6624986971022
38,Tony Moeaki,SEA,  at  SF,18,46,32.1,6.8840395117983
39,John Carlson,ARI,  at  ATL,18,45,29.111111111111,5.3840184175937
40,Austin Seferian-Jenkins,TB,  vs.  CIN,18,43,24.632653061224,5.1257408724865
41,Lance Kendricks,STL,  vs.  OAK,19,46,31.821428571429,6.6764702577066
42,Brandon Myers,TB,  vs.  CIN,20,61,40.25,11.497282287567
43,Gary Barnidge,CLE,  at  BUF,20,57,36.4,7.7420927403384
44,Luke Willson,SEA,  at  SF,20,50,35,9
45,Jeff Cumberland,NYJ,  vs.  MIA,21,51,35.130434782609,8.1310160220045
46,Chase Ford,MIN,  vs.  CAR,23,68,43.75,13.376752221672
47,Levine Toilolo,ATL,  vs.  ARI,23,45,34.222222222222,4.871180048174
48,Ladarius Green,SD,  at  BAL,23,39,31.212121212121,4.860213087719
49,Jim Dray,CLE,  at  BUF,24,62,41.461538461538,9.5483819379587
50,Richard Rodgers,GB,  vs.  NE,24,52,33.296296296296,6.0907629809398
51,Chase Coffman,TEN,  at  HOU,25,66,48.857142857143,12.755151020314
52,Logan Paulsen,WAS,  at  IND,26,66,45.857142857143,11.897521607804
53,Adrien Robinson,NYG,  at  JAC,28,65,46.166666666667,13.897441810955
54,Jack Doyle,IND,  vs.  WAS,30,66,44.5,11.76860229594
55,Gavin Escobar,DAL,  vs.  PHI,30,59,41.428571428571,7.8350338290298
56,Robert Housler,ARI,  at  ATL,30,55,46.3,6.6189122973492
57,D.J. Williams,TB,  vs.  CIN,30,49,39,7.4498322128757
58,Joseph Fauria,DET,  vs.  CHI,31,59,43.571428571429,8.1828591380684
59,Josh Hill,NO,  at  PIT,31,53,42.111111111111,7.4303348876891
60,Crockett Gillmore,BAL,  vs.  SD,34,60,49.428571428571,7.6318345081103
61,Daniel Fells,NYG,  at  JAC,34,56,41.363636363636,6.0493835489506
62,Ryan Griffin,HOU,  vs.  TEN,35,75,50.333333333333,17.613126418164
63,Brandon Pettigrew,DET,  vs.  CHI,35,71,51.833333333333,11.437025642865
64,Zach Sudfeld,NYJ,  vs.  MIA,36,61,45,11.343133018116
65,Brandon Bostick,GB,  vs.  NE,37,63,50,13
66,Ed Dickson,CAR,  at  MIN,38,55,50,5.451081150954
67,Virgil Green,DEN,  at  KC,39,69,50,13.490737563232
68,Benjamin Watson,NO,  at  PIT,39,56,47.875,6.0505681551405
69,Rhett Ellison,MIN,  vs.  CAR,41,67,51.125,7.9283904419497
70,Dante Rosario,CHI,  at  DET,43,75,54.555555555556,8.2477082488425
71,Luke Stocker,TB,  vs.  CIN,43,56,49.666666666667,5.3124591501697
72,Chris Gragg,BUF,  vs.  CLE,47,65,54,6.7082039324994
73,Gator Hoskins,MIA,  at  NYJ,48,63,55.5,7.5
74,C.J. Fiedorowicz,HOU,  vs.  TEN,49,76,61.666666666667,11.085526098877
75,Bear Pascoe,ATL,  vs.  ARI,49,70,59.5,10.5
76,Lee Smith,BUF,  vs.  CLE,51,74,63,9.4162979278837
77,Michael Hoomanawanui,NE,  at  GB,58,70,63,5.0990195135928
78,Vance McDonald,SF,  vs.  SEA,58,64,61,3
79,James Hanna,DAL,  vs.  PHI,61,79,68,7.8740078740118
80,Matt Spaeth,PIT,  vs.  NO,62,73,67.5,5.5
81,David Johnson,SD,  at  BAL,72,72,72,0
82,James Casey,PHI,  at  DAL,73,76,74.5,1.5
