Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
1,DeMarco Murray,DAL,  vs.  PHI,1,10,1.6949152542373,1.2723158824296
2,Le'Veon Bell,PIT,  vs.  NO,1,7,2.1694915254237,1.1222335835422
3,Jamaal Charles,KC,  vs.  DEN,1,18,3.9661016949153,2.0039461213952
4,Matt Forte,CHI,  at  DET,1,14,5.5338983050847,2.1180507643835
5,Eddie Lacy,GB,  vs.  NE,2,17,6.7881355932203,2.9252022816199
6,Arian Foster,HOU,  vs.  TEN,1,17,5.4234234234234,4.1536905321568
7,C.J. Anderson,DEN,  at  KC,3,22,7.6101694915254,3.0000957563958
8,LeSean McCoy,PHI,  at  DAL,3,25,8.2966101694915,3.5494313749276
9,Andre Ellington,ARI,  at  ATL,2,37,9.7627118644068,3.8788386478379
10,Marshawn Lynch,SEA,  at  SF,4,17,10.118644067797,2.0509174942517
11,Rashad Jennings,NYG,  at  JAC,3,21,10.279661016949,2.8608567912438
12,Justin Forsett,BAL,  vs.  SD,5,22,10.661016949153,2.8440253729084
13,Alfred Morris,WAS,  at  IND,5,25,13.296610169492,2.8886373599302
14,Denard Robinson,JAC,  vs.  NYG,4,24,13.940677966102,3.0843848736558
15,Tre Mason,STL,  vs.  OAK,5,26,15.474576271186,2.9044438903135
16,Mark Ingram,NO,  at  PIT,3,24,15.550847457627,3.3232551369921
17,Jeremy Hill,CIN,  at  TB,8,36,17.381355932203,3.4294820766393
18,Giovani Bernard,CIN,  at  TB,7,30,19.508474576271,3.1829678153824
19,Joique Bell,DET,  vs.  CHI,10,34,19.796610169492,4.0475129882936
20,Isaiah Crowell,CLE,  at  BUF,13,40,20.406779661017,3.5990518716989
21,Lamar Miller,MIA,  at  NYJ,7,36,20.923728813559,3.8160161577604
22,Fred Jackson,BUF,  vs.  CLE,9,35,22.084745762712,4.2137311281226
23,Ryan Mathews,SD,  at  BAL,12,39,23.838983050847,4.3334926200293
24,Shane Vereen,NE,  at  GB,8,39,24.794871794872,4.4769847559413
25,Daniel Herron,IND,  vs.  WAS,11,58,25.827586206897,5.8446495751552
26,Frank Gore,SF,  vs.  SEA,18,37,26.533898305085,3.3841159459186
27,LeGarrette Blount,NE,  at  GB,8,49,27.34188034188,6.1757208557581
28,Trent Richardson,IND,  vs.  WAS,12,49,29.118644067797,5.2885701690187
29,Bishop Sankey,TEN,  at  HOU,22,45,29.406779661017,3.3095580332092
30,Christopher Ivory,NYJ,  vs.  MIA,20,43,31.296610169492,3.6039275233826
31,Steven Jackson,ATL,  vs.  ARI,11,52,32.322033898305,4.7903174869699
32,Darren Sproles,PHI,  at  DAL,21,52,34.720338983051,5.1500955943412
33,Matt Asiata,MIN,  vs.  CAR,16,64,35.553191489362,11.303941151611
34,Alfred Blue,HOU,  vs.  TEN,9,58,36.827586206897,10.310921446222
35,Terrance West,CLE,  at  BUF,26,53,35.161016949153,4.4625947057947
36,Jonathan Stewart,CAR,  at  MIN,20,50,36.153846153846,5.6803987229371
37,Pierre Thomas,NO,  at  PIT,24,47,36.385964912281,4.5662929260493
38,Doug Martin,TB,  vs.  CIN,25,61,38.407079646018,5.4798701104392
39,Jerick McKinnon,MIN,  vs.  CAR,15,32,25.227272727273,4.9720292014594
40,Darren McFadden,OAK,  at  STL,22,59,42.514018691589,8.3075964403956
41,Latavius Murray,OAK,  at  STL,20,45,27.9,6.4567793829432
42,Theo Riddick,DET,  vs.  CHI,24,71,43.077669902913,9.4567891268689
43,DeAngelo Williams,CAR,  at  MIN,29,62,40.973913043478,4.8264864699502
44,Jonas Gray,NE,  at  GB,22,68,43.732673267327,7.9102528894109
45,Andre Williams,NYG,  at  JAC,30,66,43.150442477876,5.8160918650735
46,Reggie Bush,DET,  vs.  CHI,27,62,38.972972972973,5.8332063710139
47,Chris Johnson,NYJ,  vs.  MIA,31,62,43.6875,4.8014715936144
48,Joe Banyard,MIN,  vs.  CAR,22,82,50.038961038961,11.777638462431
49,Charles Sims,TB,  vs.  CIN,18,57,44.504587155963,5.6578659270001
50,Marcel Reece,OAK,  at  STL,28,87,54.292682926829,10.972790965948
51,Bryce Brown,BUF,  vs.  CLE,29,70,48.572815533981,7.0292066722853
52,Ben Tate,MIN,  vs.  CAR,24,77,52.044943820225,8.9992635308656
53,Benny Cunningham,STL,  vs.  OAK,25,68,47.18,6.7622185708538
54,Roy Helu,WAS,  at  IND,28,68,48.314285714286,6.7136169879749
