RB,6,0.3,
QB,30,0.88,WR,27,2.7,
QB,30,0,
QB,30,0,WR,27,0,
RB,6,1.8,
RB,6,0.2,
QB,30,0,
QB,30,0,TE,35,0,
RB,6,0.4,
QB,30,0,RB,6,0,
QB,30,0,
RB,32,0,
K,4,0,RB,66,0,TE,82,0,
RB,6,0.3,
RB,6,-0.1,
QB,30,0.2,WR,105,1,
RB,32,0,
QB,30,0.36,WR,35,1.4,
RB,6,0.3,
RB,34,-0.5,
QB,30,6.24,RB,6,12.1,
K,19,1,
K,4,0,
RB,6,0.6,
RB,6,1.1,
RB,6,0.5,
RB,34,0.3,
RB,34,0.4,
RB,34,0.1,
QB,30,0,WR,35,0,
QB,30,0,
RB,32,0,
RB,6,0.2,
QB,30,0.36,WR,27,1.4,
RB,6,0.1,
QB,30,0.12,WR,35,0.8,
RB,34,0.3,
QB,30,0,WR,35,0,
QB,30,1.8,WR,27,5,
QB,30,0,WR,27,0,
QB,30,0,WR,125,0,
QB,30,0,WR,35,0,
K,19,0,
K,4,0,
RB,6,-0.1,
QB,30,0,RB,34,0,
QB,30,0,WR,35,0,
RB,32,0,
QB,30,-0.12,RB,34,0.2,
RB,34,0.7,
QB,30,0.84,WR,27,2.6,
QB,30,0.8,
QB,30,-1,WR,27,0,
RB,34,0,
QB,30,4.28,WR,27,7.2,
K,19,1,
K,4,0,
QB,30,0.44,WR,27,1.6,
QB,30,0.7,
QB,30,1.6,
QB,30,0.5,
QB,30,0,WR,27,0,
QB,30,0,WR,35,0,
QB,30,0,WR,27,0,
K,33,0,
RB,6,0.3,
QB,30,0,WR,105,0,
TE,35,0,
QB,30,-0.16,RB,6,0.1,
RB,6,0.5,
RB,6,0.4,
WR,107,0,
K,33,0,
QB,30,0,WR,27,0,
RB,6,0.9,
RB,6,0.2,
QB,30,0,
QB,30,0.52,WR,35,1.8,
QB,30,0,WR,27,0,
RB,34,0,
QB,30,0.88,RB,34,2.7,
RB,34,0.5,
RB,6,0.2,
QB,30,1.2,
RB,6,-0.2,
QB,30,0,WR,35,0,
QB,30,0,
WR,107,0,
QB,30,0.36,WR,35,1.4,
QB,27,0,RB,6,0.2,
QB,30,0,
RB,6,0.5,
QB,30,0.6,WR,105,2,
RB,6,0.6,TE,82,0,
QB,30,0.52,WR,27,1.8,
RB,34,0.7,
QB,30,0.16,WR,35,0.9,
QB,30,0,WR,105,0,
QB,30,0,WR,27,0,
QB,30,0,RB,6,0,
K,19,3,
QB,30,0.4,WR,35,1.5,
RB,6,9.4,
K,19,1,
QB,30,0,WR,35,0,
QB,30,0,WR,27,0,
QB,30,0,WR,27,0,
RB,6,0.3,
QB,30,0.32,RB,6,1.3,
QB,30,0,TE,35,0,
RB,6,1.2,
QB,30,0,WR,35,0,
QB,30,0.92,WR,27,2.8,
RB,6,0,
QB,30,0,
QB,30,0,WR,35,0,
K,19,3,
RB,6,1.1,
RB,6,0.4,
QB,30,4.2,RB,6,7,
K,19,1,
QB,27,0,QB,30,0.2,
QB,30,0,RB,6,0,
QB,30,0.76,WR,27,2.4,
RB,34,0.2,
QB,30,0,WR,35,0,
QB,30,0,
QB,30,0.72,WR,105,2.3,
RB,34,0.9,
RB,34,0.3,
RB,34,0.6,
RB,6,4.3,
RB,6,6.1,
K,19,1,
K,33,0,
QB,27,0,RB,6,0.3,
QB,30,0.88,WR,27,2.7,
RB,6,0.4,TE,82,0,
QB,30,0.72,WR,27,2.3,
RB,34,-0.1,
QB,30,0,TE,82,0,WR,27,0,
QB,30,0.12,TE,82,0,WR,35,0.8,
K,19,4,
RB,34,0.4,TE,82,0,
RB,34,0.2,
QB,30,0.4,WR,35,1.5,
RB,34,0.1,TE,82,0,
RB,34,0.3,
QB,30,0.52,RB,6,1.8,
RB,34,-0.1,
QB,27,0,RB,70,0.2,
QB,30,0,
WR,107,0,
RB,70,0.5,
RB,34,0.2,
QB,30,0.24,WR,35,1.1,
WR,107,0,
K,33,0,
QB,30,-0.1,
QB,30,-0.1,
RB,6,0.3,
RB,6,0.1,
QB,30,0.6,WR,105,2,
RB,6,1.1,
QB,30,0.2,
RB,6,1.1,
RB,34,0.3,
QB,30,0.16,WR,35,0.9,
RB,6,3.3,
QB,30,4.44,RB,34,7.6,
K,19,1,
QB,30,0,WR,35,0,
RB,6,0.5,
QB,30,0.24,TE,35,1.1,
RB,6,0.9,
RB,34,0.3,
RB,34,0,
RB,6,0.2,
QB,30,0,RB,6,0,
K,19,3,
RB,6,0.4,
QB,30,0.92,WR,27,2.8,
RB,6,-0.1,
QB,30,0.2,WR,125,1,
QB,30,0.5,
RB,6,1.1,
RB,34,0.1,
QB,30,0,WR,27,0,
QB,30,0.12,RB,6,0.8,
K,19,3,
K,9,0,
RB,6,0.2,
QB,30,0,
QB,30,0,WR,27,0,
RB,34,0,WR,2,0,
K,9,0,
QB,30,0.04,RB,6,0.6,
RB,6,-2.3,
K,9,0,
QB,30,-1,RB,6,0,
K,9,0,
QB,30,-0.1,
K,9,0,
QB,30,0.36,TE,74,1.4,
RB,6,0,
RB,6,0,
WR,2,0,
QB,30,0.84,WR,27,2.6,
RB,6,0.7,
RB,6,0.2,
RB,6,0,
RB,34,0.7,WR,113,0,
QB,30,0.44,WR,27,1.6,
QB,30,0.2,WR,27,1,
TE,74,0,
QB,30,0.4,
QB,30,0,TE,35,0,
QB,30,0,WR,35,0,
QB,30,0.96,WR,35,2.9,
RB,6,0.3,
QB,30,0,WR,27,0,
QB,30,0.84,WR,35,2.6,
RB,6,0.2,
QB,30,0,WR,35,0,
QB,30,0,WR,105,0,
K,19,3,
K,9,0,
QB,30,0.24,WR,35,1.1,
QB,30,1.28,WR,27,1.7,WR,35,0,
K,9,0,
QB,30,0.6,
QB,30,0.88,WR,35,2.7,
QB,30,0.32,RB,6,1.3,
QB,30,0.72,TE,35,2.3,
QB,30,0,WR,35,0,
QB,30,0.64,WR,27,2.1,
QB,30,4.04,RB,6,6.6,
K,19,1,
QB,30,0,WR,35,0,
RB,6,0.5,WR,25,0,
QB,30,0,TE,25,0,WR,27,0,
TE,62,0,
RB,6,0.2,
QB,30,0,RB,6,0,
QB,30,0,WR,35,0,
RB,6,0.4,
QB,30,0,
QB,30,0,WR,25,0,
TE,25,0,
RB,6,-0.3,
QB,30,0.28,TE,74,1.2,WR,25,0,
QB,30,1.12,RB,6,3.3,TE,25,0,
RB,6,0.6,TE,74,0,
QB,30,0.52,TE,25,0,WR,35,1.8,
RB,34,0.4,
QB,30,0.16,WR,105,0.9,WR,25,0,
RB,6,0.1,
QB,30,0,WR,35,0,
RB,6,0.5,
QB,30,4.16,WR,35,6.9,
K,19,1,
RB,6,0.5,
QB,30,0.36,WR,35,1.4,
RB,6,7.2,
K,19,1,
QB,30,0.48,WR,27,1.7,
QB,30,0,
QB,30,0,WR,35,0,
QB,30,0.2,RB,6,1,
QB,30,0,WR,35,0,
QB,30,0.88,TE,25,0,WR,35,2.7,
RB,6,0,
RB,6,0.1,
QB,30,-0.04,RB,6,0.4,
RB,6,0.8,WR,25,0,
RB,6,3.4,
QB,30,1.04,TE,25,0,WR,35,3.1,
RB,6,6.2,
K,19,1,
RB,6,0.9,
RB,6,0.4,
RB,6,0.2,
QB,30,1.6,WR,105,4.5,
RB,34,0.1,WR,25,0,
QB,30,0,
RB,6,0.7,
K,19,0,
RB,6,0.5,WR,25,0,
QB,30,0.5,
RB,6,0,
QB,30,0.72,WR,105,2.3,
RB,34,1.7,
WR,35,0,
QB,30,0,TE,25,0,TE,35,0,
QB,30,0.52,TE,25,0,WR,35,-0.2,
QB,30,0.48,WR,35,1.7,
QB,30,-2,WR,25,0,
K,3,0,
TE,74,0,
RB,6,0,
QB,30,0.2,WR,27,1,
QB,30,0,
WR,139,0,
QB,30,0.32,TE,62,1.3,
QB,30,0,WR,35,0,
QB,30,0.44,WR,35,1.6,
QB,30,-1,RB,6,0,
RB,6,0.2,
QB,30,0.28,WR,27,1.2,
RB,6,0.1,
RB,6,1.4,
RB,6,0.4,
QB,30,0,WR,105,0,
RB,6,1.3,
WR,139,0,
RB,34,0.4,
RB,34,0.5,
QB,30,0.2,
QB,30,0,WR,35,0,
RB,86,0,
QB,30,0.12,WR,35,0.8,
QB,30,0,
RB,6,0.6,
RB,34,0,WR,139,-2,
QB,30,0,WR,35,0,
QB,30,0.08,WR,27,0.7,
QB,30,0,WR,105,0,
K,3,0,
QB,30,-0.1,
RB,6,0.5,
RB,6,0.2,
QB,30,0.48,WR,27,1.7,
RB,6,0.4,
RB,6,3.3,
RB,6,7.5,
K,19,1,
K,3,0,
RB,6,-0.1,
RB,34,0.1,
QB,30,0.52,WR,35,1.8,
WR,139,0,
RB,6,0.2,
RB,6,0.2,
QB,30,0.12,TE,35,0.8,
RB,34,0,WR,139,0,
K,3,0,
RB,6,1.1,
RB,6,0.5,
QB,30,0.44,WR,35,1.6,
RB,6,0.3,
QB,30,0.72,WR,27,2.3,
RB,6,0,
QB,30,0.04,RB,6,0.6,
QB,30,0.28,WR,125,1.2,
QB,30,0.56,RB,6,1.9,
RB,34,0.4,
QB,30,0.2,
QB,30,0,RB,6,0,
K,19,3,
QB,30,0.8,WR,35,2.5,
QB,30,0.76,WR,27,2.4,
RB,6,0.5,
RB,6,6.1,
K,19,1,
K,3,0,
RB,6,2.4,
RB,6,0.6,
RB,34,0.2,
QB,30,0,RB,6,0,
QB,30,0.52,WR,35,1.8,
RB,6,-0.6,TE,57,0,
QB,30,0.4,WR,27,1.5,
QB,30,0,WR,125,0,
QB,30,0.16,WR,27,0.9,
QB,30,0.2,WR,27,1,
QB,30,0,
RB,6,0,
QB,30,0.48,RB,6,1.7,TE,57,0,
RB,6,-0.1,
QB,30,0.28,TE,35,1.2,
QB,30,0,
RB,34,0,
QB,30,0.4,WR,35,1.5,
QB,30,1,WR,35,3,
QB,30,0.16,RB,86,0,WR,35,-1.1,
QB,30,-1,WR,27,0,
RB,6,0.4,
RB,6,0.3,
QB,30,0.68,RB,6,2.2,
RB,6,0.1,
QB,30,0,WR,105,0,
QB,30,1.1,
QB,30,0.36,TE,35,1.4,
QB,30,5.4,WR,27,10,
K,19,1,WR,27,0,
QB,30,-1,RB,6,0,TE,35,0,
QB,30,0.48,TE,35,1.7,TE,57,0,
QB,30,0,RB,45,0,TE,74,0,
QB,30,0,TE,35,0,
QB,30,0.4,WR,105,1.5,
RB,6,0.3,
QB,30,0.32,RB,6,1.3,
RB,6,0.2,
QB,30,0.28,RB,6,1.2,
QB,30,0.16,RB,45,0,WR,35,0.9,
QB,30,0,
RB,86,0,
QB,30,0,
K,19,4,
QB,30,0.6,WR,35,2,
RB,86,0,
QB,30,0.96,RB,66,2.9,
RB,34,0.4,
RB,34,-0.1,
QB,30,0,WR,35,0,
RB,34,-0.2,
QB,30,0.12,RB,34,0.8,
QB,30,0,RB,6,0,
RB,34,0.4,
QB,30,0,TE,35,0,
QB,30,0.12,RB,6,0.8,
K,19,5,
QB,30,0.52,RB,34,1.8,
QB,30,0,RB,34,0,
RB,34,0.6,RB,45,0,
QB,30,0.5,
WR,27,0,
WR,105,0.8,
QB,30,0.4,RB,45,0,WR,27,1.5,
QB,30,0,RB,6,0,
K,19,5,
RB,34,0,
QB,30,0,RB,66,0,
QB,30,0.4,RB,6,1.5,
RB,34,-0.4,
RB,34,0.2,TE,57,0,
QB,30,-0.08,RB,6,0.3,
QB,30,-0.1,
QB,30,-0.1,
RB,34,1.1,
RB,34,0.2,
QB,30,0,WR,35,0,
QB,30,0.28,WR,35,1.2,
RB,34,1.5,
RB,34,0.9,
TE,74,0,
RB,70,0.5,
QB,30,-1,WR,105,0,WR,128,0,WR,27,0,
QB,30,0,WR,35,0,
RB,34,0.4,
QB,30,0.5,
QB,30,0.68,WR,27,2.2,
RB,34,0.2,
QB,30,0,RB,66,0,
QB,30,0,WR,27,0,
QB,30,-0.04,WR,128,0,WR,35,0.4,
WR,100,0,WR,128,0,
WR,105,0,WR,68,0,
QB,30,0,
RB,34,0.2,
QB,30,-1,WR,125,0,WR,35,0,
WR,68,0,
QB,30,0,WR,35,0,
QB,30,0.64,WR,125,2.1,
QB,30,0,
QB,30,0,TE,35,0,
QB,30,0,WR,125,0,
WR,100,0,
WR,105,0,WR,68,0,
QB,30,0.44,TE,35,1.6,
RB,34,-0.2,
QB,30,0.4,TE,35,1.5,
RB,34,0.1,
RB,34,-0.1,
WR,68,0,
QB,30,0.84,WR,27,2.6,
QB,30,0.48,WR,27,1.7,
QB,30,0.3,
QB,30,0.44,WR,35,1.6,
QB,30,0.4,WR,27,1.5,
QB,30,0.24,TE,35,1.1,
QB,30,0.3,
QB,30,0,WR,35,0,
K,19,3,
RB,34,0.2,
RB,34,4.6,
QB,30,5.76,WR,105,10.9,
K,19,1,
WR,105,0,WR,68,0,
RB,34,0.2,
WR,105,0,
QB,30,0.7,
WR,128,0,
WR,68,0,
QB,30,-1,WR,27,0,
WR,68,0,
QB,30,0,WR,35,0,
QB,30,0.2,
QB,30,0.7,
QB,30,1.96,WR,27,5.4,
QB,30,0.28,WR,128,0,WR,35,1.2,
RB,34,0,
QB,30,0,WR,35,0,
QB,30,6.1,
